,Date,Open,Low,High,Close,Adj. Close,Volume,Shares Outstanding,Dividend Yield,Earnings Yield,FCF Yield,Market-Cap,P/Cash,P/E,P/FCF,P/NCAV,P/NetNet,P/Sales,Price to Book Value
0,2007-01-03,68.42,67.85,69.48,68.4,51.66,12908400,1166000000.0,,,,,,,,,,,
1,2007-01-04,69.48,68.97,71.87,71.33,53.87,16000900,1166000000.0,,,,,,,,,,,
2,2007-01-05,71.34,71.01,72.08,71.5,54.0,10462000,1166000000.0,,,,,,,,,,,
3,2007-01-08,71.63,70.79,71.89,70.93,53.57,6747100,1166000000.0,,,,,,,,,,,
4,2007-01-09,71.17,70.67,71.68,71.27,53.82,7165200,1166000000.0,,,,,,,,,,,
5,2007-01-10,70.9,70.7,71.24,71.04,53.65,5780600,1166000000.0,,,,,,,,,,,
6,2007-01-11,71.16,70.74,72.21,71.91,54.31,6872600,1166000000.0,,,,,,,,,,,
7,2007-01-12,72.02,72.0,73.57,73.27,55.33,10115000,1166000000.0,,,,,,,,,,,
8,2007-01-16,73.4,72.77,73.58,73.5,55.51,5465400,1166000000.0,,,,,,,,,,,
9,2007-01-17,73.5,73.2,74.08,73.93,55.83,6535100,1166000000.0,,,,,,,,,,,
10,2007-01-18,74.1,73.36,74.35,73.69,55.65,7544100,1166000000.0,,,,,,,,,,,
11,2007-01-19,73.94,73.75,74.56,74.25,56.08,6791700,1166000000.0,,,,,,,,,,,
12,2007-01-22,75.75,75.51,76.95,75.85,57.28,16810600,1166000000.0,,,,,,,,,,,
13,2007-01-23,75.24,74.35,75.85,74.6,56.34,11220700,1166000000.0,,,,,,,,,,,
14,2007-01-24,74.45,74.0,75.14,75.14,56.75,7198900,1166000000.0,,,,,,,,,,,
15,2007-01-25,74.83,74.32,75.01,74.85,56.53,10974200,1166000000.0,,,,,,,,,,,
16,2007-01-26,71.69,70.92,71.89,71.5,54.0,30276300,1166000000.0,,,,,,,,,,,
17,2007-01-29,71.2,69.86,71.3,69.97,52.84,13797900,1166000000.0,,,,,,,,,,,
18,2007-01-30,70.68,70.23,71.13,70.33,53.11,11686000,1166000000.0,,,,,,,,,,,
19,2007-01-31,70.4,69.9,70.57,70.37,53.14,8537800,1166000000.0,,,,,,,,,,,
20,2007-02-01,70.19,69.02,70.25,69.49,52.48,13779600,1166000000.0,,,,,,,,,,,
21,2007-02-02,69.68,69.4,70.01,69.45,52.45,10115500,1166000000.0,,,,,,,,,,,
22,2007-02-05,69.44,69.05,70.21,69.84,52.74,9181200,1166000000.0,,,,,,,,,,,
23,2007-02-06,70.33,69.23,70.49,69.66,52.61,9683100,1166000000.0,,,,,,,,,,,
24,2007-02-07,69.3,69.3,70.25,70.0,52.87,7881100,1166000000.0,,,,,,,,,,,
25,2007-02-08,69.59,69.55,70.39,69.78,52.7,8879900,1166000000.0,,,,,,,,,,,
26,2007-02-09,69.95,69.0,70.09,69.05,52.15,10375300,1166000000.0,,,,,,,,,,,
27,2007-02-12,69.41,68.42,69.53,68.49,51.72,6831800,1166000000.0,,,,,,,,,,,
28,2007-02-13,68.73,68.5,68.98,68.8,51.96,6197000,1166000000.0,,,,,,,,,,,
29,2007-02-14,68.72,68.68,69.11,68.8,51.96,10553100,1166000000.0,,,,,,,,,,,
30,2007-02-15,68.7,67.91,68.92,68.28,51.57,11571400,1166000000.0,,,,,,,,,,,
31,2007-02-16,68.22,65.94,68.49,66.73,50.4,30258500,1166000000.0,,,,,,,,,,,
32,2007-02-20,66.65,66.25,67.18,66.35,50.11,17507200,1166000000.0,,,,,,,,,,,
33,2007-02-21,66.01,65.72,67.62,67.41,50.91,16658300,1166000000.0,,,,,,,,,,,
34,2007-02-22,66.84,66.62,67.41,66.74,50.4,14397900,1166000000.0,,,,,,,,,,,
35,2007-02-23,66.5,65.96,67.5,66.23,50.02,19424100,1166000000.0,,,,,,,,,,,
36,2007-02-26,66.15,65.96,66.5,66.2,50.0,10838300,1166000000.0,,,,,,,,,,,
37,2007-02-27,65.35,63.86,65.52,64.25,48.52,22702700,1166000000.0,,,,,,,,,,,
38,2007-02-28,65.0,64.15,65.22,64.26,48.53,16460200,1166000000.0,,,,,,,,,,,
39,2007-03-01,62.4,61.41,62.89,61.7,46.6,38347100,1166000000.0,,,,,,,,,,,
40,2007-03-02,62.11,61.4,62.45,61.75,46.63,21136500,1166000000.0,,,,,,,,,,,
41,2007-03-05,61.62,61.1,63.15,62.16,46.94,17479100,1166000000.0,,,,,,,,,,,
42,2007-03-06,62.28,61.7,62.66,62.3,47.05,12493100,1166000000.0,,,,,,,,,,,
43,2007-03-07,62.08,61.72,62.55,62.02,46.84,13249900,1166000000.0,,,,,,,,,,,
44,2007-03-08,62.21,61.63,62.41,62.17,46.95,11067900,1166000000.0,,,,,,,,,,,
45,2007-03-09,62.23,60.05,62.32,60.86,45.96,24677400,1166000000.0,,,,,,,,,,,
46,2007-03-12,59.83,59.03,60.72,60.68,45.83,28068400,1166000000.0,,,,,,,,,,,
47,2007-03-13,60.04,60.01,61.62,60.39,45.61,21774000,1166000000.0,,,,,,,,,,,
48,2007-03-14,60.36,59.64,60.69,60.69,45.83,14261600,1166000000.0,,,,,,,,,,,
49,2007-03-15,60.55,59.79,60.94,60.01,45.32,11285600,1166000000.0,,,,,,,,,,,
50,2007-03-16,60.02,59.21,60.46,59.3,44.78,14396900,1166000000.0,,,,,,,,,,,
51,2007-03-19,59.75,59.0,59.75,59.14,44.66,12355200,1166000000.0,,,,,,,,,,,
52,2007-03-20,59.04,59.03,59.73,59.43,44.88,11421000,1166000000.0,,,,,,,,,,,
53,2007-03-21,59.52,59.23,60.64,60.6,45.77,12648300,1166000000.0,,,,,,,,,,,
54,2007-03-22,60.6,60.31,60.9,60.47,45.67,9148300,1166000000.0,,,,,,,,,,,
55,2007-03-23,58.2,57.11,58.48,58.02,43.82,35312700,1166000000.0,,,,,,,,,,,
56,2007-03-26,58.31,57.04,58.34,57.14,43.15,16085500,1166000000.0,,,,,,,,,,,
57,2007-03-27,57.18,56.21,57.41,56.21,42.45,20009900,1166000000.0,,,,,,,,,,,
58,2007-03-28,56.08,55.52,56.23,55.72,42.08,18710800,1166000000.0,,,,,,,,,,,
59,2007-03-29,56.06,55.13,56.4,55.83,42.16,16787700,1166000000.0,,,,,,,,,,,
60,2007-03-30,56.0,55.3,56.11,55.88,42.2,10749500,1166000000.0,,,,,,,,,,,
61,2007-04-02,56.19,55.45,56.55,55.55,41.95,11103300,1166000000.0,,,,,,,,,,,
62,2007-04-03,55.83,55.59,56.25,55.73,42.09,10570600,1166000000.0,,,,,,,,,,,
63,2007-04-04,55.85,55.75,57.0,56.68,42.81,12822200,1166000000.0,,,,,,,,,,,
64,2007-04-05,56.94,56.85,58.81,58.33,44.05,19402800,1166000000.0,,,,,,,,,,,
65,2007-04-09,58.38,57.15,58.5,57.19,43.19,10966100,1166000000.0,,,,,,,,,,,
66,2007-04-10,57.36,56.66,57.67,57.12,43.14,11953200,1166000000.0,,,,,,,,,,,
67,2007-04-11,56.98,56.3,57.17,56.34,42.55,17349400,1166000000.0,,,,,,,,,,,
68,2007-04-12,56.49,56.49,57.79,57.64,43.53,17438700,1166000000.0,,,,,,,,,,,
